rou,fir,sec,thi,for,fif,six,bon
287,7,9,12,14,23,28,17
288,3,12,33,36,42,45,25
289,1,2,3,9,12,23,10
290,10,15,18,21,34,41,43
291,15,19,21,34,41,44,10
292,8,10,13,36,37,40,6
293,5,21,27,34,44,45,16
294,4,8,9,16,17,19,31
295,7,22,29,33,34,35,30
296,23,27,28,38,42,43,36
297,13,15,18,24,27,41,11
298,2,11,17,18,21,27,6
299,5,10,13,27,37,41,4
300,6,16,37,38,41,45,18
301,11,24,32,33,35,40,13
302,2,4,5,17,27,32,43
303,2,7,13,25,42,45,39
304,4,10,14,15,18,22,39
305,11,17,21,26,36,45,16
306,3,6,10,30,34,37,36
307,7,8,10,19,21,31,20
308,1,11,21,23,34,44,24
309,6,7,19,21,41,43,38
310,2,8,33,35,37,41,14
311,20,30,33,35,36,44,22
312,12,14,21,30,39,43,45
313,1,28,35,41,43,44,31
314,1,12,29,34,36,37,41
315,4,8,13,19,20,43,26
316,4,11,20,23,32,39,40
317,2,11,19,25,28,32,44
318,2,6,13,16,29,30,21
319,2,7,27,33,41,44,10
320,1,7,22,33,37,40,20
321,2,5,15,18,19,23,44
322,17,20,30,31,33,45,19
323,11,15,24,35,37,45,42
324,3,4,9,24,25,33,10
325,10,18,30,36,39,44,32
326,2,10,16,19,34,45,1
327,2,12,19,24,39,44,35
328,3,4,6,10,28,30,37
329,1,6,17,22,28,45,23
330,1,4,8,23,33,42,45
331,10,28,31,33,41,44,21
332,3,13,16,24,26,29,9
333,3,10,14,16,36,38,35
334,11,23,28,29,30,44,13
335,4,5,8,16,21,29,3
336,3,11,13,21,33,37,18
337,2,5,8,11,33,39,31
338,1,7,16,18,34,38,21
339,4,18,26,33,34,38,14
340,7,15,20,25,33,43,12
341,1,6,11,28,34,42,30
342,3,11,14,15,32,36,44
343,15,27,33,35,43,45,16
344,24,25,33,34,38,39,43
345,7,17,19,30,36,38,34
346,5,15,22,23,34,35,2
347,1,8,10,13,28,42,45
348,7,12,15,24,25,43,13
349,6,7,12,28,38,40,18
350,1,11,15,17,25,39,40
351,6,13,20,27,28,40,15
352,17,23,27,35,38,43,2
353,21,24,27,29,43,44,7
354,4,10,19,29,32,42,30
355,3,5,7,14,26,34,35
356,4,5,6,12,25,37,45
357,12,15,24,36,41,44,42
358,1,8,17,34,39,45,27
359,1,8,11,15,18,45,7
360,9,10,14,25,27,31,11
361,7,10,17,29,33,44,5
362,8,21,28,31,36,45,43
363,7,9,10,13,31,35,24
364,11,18,26,27,40,41,25
365,7,8,20,29,33,38,9
366,12,14,15,24,27,32,3
367,15,17,25,37,42,43,13
368,2,4,6,11,17,28,16
369,5,6,11,17,38,44,13
370,10,20,33,36,41,44,5
371,3,5,8,19,38,42,20
372,5,6,9,11,15,37,26
373,2,3,12,20,27,38,40
374,4,9,23,33,39,44,14
375,7,18,19,27,29,42,45
376,8,19,25,28,32,36,37
