den,wt
20,22.95
229,23.4
600,23.35
1050,23.6
255,23.45
365,23.25
650,23.5
255,23.75
1775,22.5
2700,23.5
45,23.9
700,24.05
240,23.5
875,22.55
800,23.5
702.5,23.7
580,23.65
450,22.9
1275,23.75
20,23.45
702.5,24.7
410,23.4
350,22.55
30,23.4
1150,23.4
6816,23.75
450,22.5
50,23.35
202.5,23.35
666,23.05
350,23.35
600,22.85
102.5,23.65
5,22.55
775,22.85
252.5,23.05
775,23.35
8285,23
4125,23.7
1050,23.95
15.5,23.3
220,22.95
4030,23.65
800,23.2
493.5,23.95
240,22.65
4030,23.7
2550,23.45
340.5,23.6
355,23.05
110,23.3
200,23.5
1790,23.75
10250,23.1
342.5,24.05
480,22.65
280,22.85
600,23.25
720,23.9
1855,23.85
2250,23.25
617,24.05
7460,23.35
1760,23.2
630,23.8
1750,24.1
4000,23.5
508.5,24.05
642,23.3
1240,22.95
750,24.15
505,24.25
5,23.35
4150,24.45
2000,23.45
995,23.35
265,22.65
575,23.65
2,22.75
615,23.65
630,24.05
4555,24.85
8500,23.9
2510,22.5
620,23.45
1050,23.9
2.5,23
947.5,23.75
220,23.95
1315,24.1
2550,23.6
5395,21.8
285,22.4
850,23.85
25,23
924,23.85
475,23.85
2355,23.95
10500,23.5
9330,21.85
505,22.85
2250,23.8
87.5,23.15
77.5,24.25
2385,23.85
1095,23.7
180,24.1
2550,23
1571,22.95
980,23.25
620,24.65
20,23.2
2305,24.55
3740,21.75
2440,24.15
1330,25.1
2400,23.8
1038,21.55
1080,22.4
2560,23.85
2610,24.1
425,25.2
1876,22.75
720,24.6
235,24.35
2150,24
1964,21.95
1330,22.45
1820,23.9
800,22.75
275,25.5
49,22.15
240,24.45
900,24.2
40,24.2
87.5,24.6
2600,24
985,24.65
59,22.25
2800,22.4
335,24.1
525,26.3
2350,23.4
725,23.45
1200,23.5
98,24.25
764,23.6
1645,24.55
2350,24.15
900,24.85
1300,25.65
1650,23.65
68.5,24.75
2045,24.15
1920,22.6
2670,22.9
2200,24.1
742.5,23.25
1000,26.25
391,24.85
130,24.25
1635,24.45
2550,22.7
3025,23.25
125,24.3
2400,24.15
1045,24.25
800,24.55
2450,23.9
410,23.55
1230,24.45
1176,24.8
3025,23.65
1200,24.15
245,23.95
405,25.9
620,23.65
440,24.35
455,24.3
7100,22.8
450,24.3
21,23.35
1725,24.9
1555,23.6
2845,24.3
1300,24
662.5,23.2
1460,22.75
610,23.55
1500,23.45
1505,23.95
350,23.5
6008,22.8
907.5,22.6
636,22.95
7530,22.7
1150,23.65
540,24.35
920,22.45
840,22.55
1425,22.55
580,24.35
196,22.65
220,23.8
365,24.5
3545,23.2
1800,24.15
454.5,24.2
1080,23.4
1080,22.5
1425,23.05
620,23.75
125,22.7
486,23.7
875,22.8
71.5,22.75
355,22.9
393,23.05
1100,23.8
425,23.8
230,24
325,24.15
935,23.25
11,22.25
195,24.35
450,24.5
696,23.25
2650,22.8
200,23.65
1300,22.1
50,23.85
